fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
022205,永赢中证A50指数增强发起C,1.0937,1.0937,1.0895,1.0895,0.0042,0.39,2025-08-12,2025-08-12,2025-08-12 14:58:19
022207,鹏华丰恒债券B,1.0119,1.0131,1.0097,1.0109,0.0022,0.22,2025-04-06,2025-04-06,2025-04-06 17:24:22
022208,华安稳固收益债券E,1.2200,1.2200,1.2180,1.2180,0.0020,0.16,2025-04-06,2025-04-06,2025-04-06 17:24:22
022209,中信保诚90天持有债券A,1.0099,1.0099,1.0094,1.0094,0.0005,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
022210,中信保诚90天持有债券C,1.0085,1.0085,1.0080,1.0080,0.0005,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
022213,中信保诚乾元30天持有债券A,1.0063,1.0063,1.0052,1.0052,0.0011,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
022214,中信保诚乾元30天持有债券C,1.0056,1.0056,1.0045,1.0045,0.0011,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
022215,人保泰和积极配置三个月持有混合发起式(FOF)A,0.9977,0.9977,0.9960,0.9960,0.0017,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
022216,人保泰和积极配置三个月持有混合发起式(FOF)C,0.9961,0.9961,0.9944,0.9944,0.0017,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
022217,合煦智远嘉悦利率债E,1.6764,2.0424,1.6764,2.0424,0.0000,0.00,2025-04-06,2025-04-06,2025-04-06 17:24:22
022218,华宝宝裕债券D,1.0758,1.0758,1.0714,1.0714,0.0044,0.41,2025-04-06,2025-04-06,2025-04-06 00:36:37
022219,华润元大双鑫债券D,1.3440,1.3440,1.3409,1.3409,0.0031,0.23,2025-08-12,2025-08-12,2025-08-12 14:58:19
022220,鹏华丰盈债券D,1.0280,1.0295,1.0260,1.0275,0.0020,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
