fund_code,fund_name,latest_net_value,latest_total_value,history_net_value,history_total_value,daily_growth_value,daily_growth_rate,latest_date,history_date,update_time
022494,国泰上证综合ETF联接E,1.2828,1.2828,1.2791,1.2791,0.0037,0.29,2025-08-12,2025-08-12,2025-08-12 14:58:19
022495,嘉实红利精选混合发起式A,0.9992,0.9992,1.0006,1.0006,-0.0014,-0.14,2025-04-06,2025-04-06,2025-04-06 17:24:22
022496,嘉实红利精选混合发起式C,0.9976,0.9976,0.9989,0.9989,-0.0013,-0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
022497,国泰CES半导体芯片行业ETF联接E,1.4014,1.4014,1.3945,1.3945,0.0069,0.49,2025-08-12,2025-08-12,2025-08-12 14:58:19
022498,国泰中证生物医药ETF联接E,1.0987,1.0987,1.0926,1.0926,0.0061,0.56,2025-08-12,2025-08-12,2025-08-12 14:58:19
022500,国泰中证全指通信设备ETF联接E,1.7664,1.7664,1.7343,1.7343,0.0321,1.85,2025-08-12,2025-08-12,2025-08-12 14:58:18
022501,国泰中证煤炭ETF联接E,1.8394,1.8394,1.8401,1.8401,-0.0007,-0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022502,国泰黄金ETF联接E,2.6784,2.6784,2.6563,2.6563,0.0221,0.83,2025-04-06,2025-04-06,2025-04-06 00:36:37
022503,富国全球债券(QDII)人民币E,1.2934,1.3324,1.2907,1.3297,0.0027,0.21,2025-04-06,2025-04-06,2025-04-06 17:24:22
022504,招商沪深300ETF发起式联接A,1.0659,1.0659,1.0617,1.0617,0.0042,0.40,2025-08-12,2025-08-12,2025-08-12 14:58:19
022505,招商沪深300ETF发起式联接C,1.0644,1.0644,1.0602,1.0602,0.0042,0.40,2025-08-12,2025-08-12,2025-08-12 14:58:19
022506,泓德裕泰债券D,1.4054,1.4054,1.4042,1.4042,0.0012,0.09,2025-04-06,2025-04-06,2025-04-06 17:24:22
022507,华泰紫金丰和偏债混合发起E,0.9736,0.9736,0.9733,0.9733,0.0003,0.03,2025-04-06,2025-04-06,2025-04-06 17:24:22
022508,泉果消费机遇混合发起式C,1.3342,1.3342,1.3172,1.3172,0.0170,1.29,2025-10-02,2025-10-02,2025-10-02 11:18:04
022509,国泰中证全指证券公司ETF联接E,1.1626,1.1626,1.1498,1.1498,0.0128,1.11,2025-08-12,2025-08-12,2025-08-12 14:58:18
022510,鹏华丰盛债券A,1.0123,1.0123,1.0114,1.0114,0.0009,0.09,2025-04-06,2025-04-06,2025-04-06 17:24:22
022511,鹏华丰盛债券D,1.0113,1.0113,1.0104,1.0104,0.0009,0.09,2025-04-06,2025-04-06,2025-04-06 17:24:22
022512,南方亚洲美元收益债券(QDII)E(人民币),1.0272,1.0472,1.0264,1.0464,0.0008,0.08,2025-04-06,2025-04-06,2025-04-06 17:24:22
022513,人保中证800指数增强A,1.0843,1.0843,1.0770,1.0770,0.0073,0.68,2025-08-12,2025-08-12,2025-08-12 14:58:18
022514,人保中证800指数增强C,1.0815,1.0815,1.0742,1.0742,0.0073,0.68,2025-08-12,2025-08-12,2025-08-12 14:58:18
022515,农银金盈债券C,1.0697,1.0897,1.0671,1.0871,0.0026,0.24,2025-04-06,2025-04-06,2025-04-06 17:24:22
022516,泰信债券增强收益D,1.1531,1.1531,1.1509,1.1509,0.0022,0.19,2025-04-06,2025-04-06,2025-04-06 17:24:22
022519,东海祥龙(LOF)C,0.8306,0.8306,0.8297,0.8297,0.0009,0.11,2025-04-06,2025-04-06,2025-04-06 17:24:22
022521,中欧农业产业混合发起A,1.2719,1.2719,1.2530,1.2530,0.0189,1.51,2025-08-12,2025-08-12,2025-08-12 14:58:18
022522,中欧农业产业混合发起C,1.2678,1.2678,1.2490,1.2490,0.0188,1.51,2025-08-12,2025-08-12,2025-08-12 14:58:18
022523,天弘标普500发起(QDII-FOF)D,1.9635,1.9635,1.9494,1.9494,0.0141,0.72,2025-08-12,2025-08-12,2025-08-12 14:58:18
022524,天弘越南市场股票发起(QDII)D,1.4570,1.4570,1.4587,1.4587,-0.0017,-0.12,2025-04-06,2025-04-06,2025-04-06 17:24:22
022525,天弘纳斯达克100指数发起(QDII)D,1.7194,1.7194,1.7033,1.7033,0.0161,0.95,2025-08-12,2025-08-12,2025-08-12 14:58:18
022526,天弘永利优享债券E,1.0878,1.0878,1.0882,1.0882,-0.0004,-0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022527,天弘多元收益债券E,1.3182,1.3182,1.3162,1.3162,0.0020,0.15,2025-08-12,2025-08-12,2025-08-12 14:58:19
022528,天弘中债1-5年政策性金融债指数发起E,1.0577,1.0603,1.0555,1.0581,0.0022,0.21,2025-04-06,2025-04-06,2025-04-06 17:24:22
022529,天弘安怡30天滚动持有短债发起A,1.1136,1.1136,1.1131,1.1131,0.0005,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022530,天弘安怡30天滚动持有短债发起E,1.1123,1.1123,1.1119,1.1119,0.0004,0.04,2025-04-06,2025-04-06,2025-04-06 17:24:22
022531,天弘安悦90天滚动持有短债发起A,1.0968,1.0968,1.0961,1.0961,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
022532,天弘安悦90天滚动持有短债发起E,1.0952,1.0952,1.0945,1.0945,0.0007,0.06,2025-04-06,2025-04-06,2025-04-06 17:24:22
022533,天弘中债1-3年国开债指数发起E,1.0189,1.0209,1.0176,1.0196,0.0013,0.13,2025-04-06,2025-04-06,2025-04-06 17:24:22
022534,景顺长城稳定收益债券F,1.2120,1.2120,1.2090,1.2090,0.0030,0.25,2025-08-12,2025-08-12,2025-08-12 14:58:19
022535,天弘中债3-5年政策性金融债指数发起E,1.0352,1.0681,1.0328,1.0657,0.0024,0.23,2025-04-06,2025-04-06,2025-04-06 17:24:22
022536,天弘安益债券E,1.0810,1.0810,1.0792,1.0792,0.0018,0.17,2025-04-06,2025-04-06,2025-04-06 17:24:22
022538,天弘招利短债E,1.0611,1.0611,1.0608,1.0608,0.0003,0.03,2025-04-06,2025-04-06,2025-04-06 17:24:22
022539,天弘安利短债D,1.1303,1.1303,1.1297,1.1297,0.0006,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
022540,天弘安利短债E,1.1294,1.1294,1.1288,1.1288,0.0006,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
022541,国泰中证计算机主题ETF联接E,0.9749,0.9749,0.9621,0.9621,0.0128,1.33,2025-10-02,2025-10-02,2025-10-02 11:18:04
022542,天弘优选债券E,1.1009,1.1019,1.0989,1.0999,0.0020,0.18,2025-04-06,2025-04-06,2025-04-06 17:24:22
022543,天弘沪深300指数增强发起E,1.3282,1.3282,1.3252,1.3252,0.0030,0.23,2025-08-12,2025-08-12,2025-08-12 14:58:19
022544,天弘中证科技100指数增强发起E,1.2845,1.2845,1.2680,1.2680,0.0165,1.30,2025-08-12,2025-08-12,2025-08-12 14:58:18
022545,天弘国证消费100指数增强发起E,0.7736,0.7736,0.7645,0.7645,0.0091,1.19,2025-08-12,2025-08-12,2025-08-12 14:58:18
022550,平安瑞利6个月持有混合A,1.0176,1.0176,1.0183,1.0183,-0.0007,-0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
022551,平安瑞利6个月持有混合C,1.0170,1.0170,1.0177,1.0177,-0.0007,-0.07,2025-04-06,2025-04-06,2025-04-06 17:24:22
022552,天弘优利短债发起D,1.0864,1.0864,1.0859,1.0859,0.0005,0.05,2025-04-06,2025-04-06,2025-04-06 17:24:22
